id,name,current_price,market_cap,price_change_24h,price_change_percentage_24h,ath,atl,time_stamp
reserve-protocol-eth-plus,ETHPlus,4017.17,334627539,-6.869653872316576,-0.17072,4194.11,1461.53,31-07-25
popcat,Popcat,0.340018,333221206,0.02046394,6.40391,2.05,0.00379728,31-07-25
creditcoin-2,Creditcoin,0.722222,331800626,0.02375121,3.40046,8.67,0.128298,31-07-25
staked-frax-ether,Staked Frax Ether,4321.12,330664570,84.7,1.99942,7545.09,1147.58,31-07-25
dog-go-to-the-moon-rune,Dog (Bitcoin),0.00330511,330466769,5.317e-05,1.63495,0.0099237,0.00100496,31-07-25
trust-wallet-token,Trust Wallet,0.790316,329510827,0.02271271,2.95891,2.72,0.00277641,31-07-25
qubic-network,Qubic,2.65e-06,324227724,1.33745e-07,5.30852,1.256e-05,7.03229e-07,31-07-25
matic-network,Polygon,0.220662,318934111,0.00567358,2.63902,2.92,0.00314376,31-07-25
amp-token,Amp,0.00373881,314778235,8.062e-05,2.2038,0.120813,0.00140933,31-07-25
binance-peg-busd,Binance-Peg BUSD,0.999701,312348835,0.00144554,0.14481,1.064,0.954278,31-07-25
global-dollar,Global Dollar,0.999589,311410858,-0.000175966840262332,-0.0176,1.65,0.907561,31-07-25
gho,GHO,0.998112,304999337,-0.000278458744832011,-0.02789,1.03,0.917065,31-07-25
useless-3,Useless Coin,0.303847,304211643,0.01750612,6.11374,0.414943,0.00519952,31-07-25
